INIA La Estanzuela (LE)
Fecha,Heliofanía (Hrs.),Precip. Acumulada (mm),Heliofanía Relativa (%),Rad.Solar (xHelio)cal/cm²,Precip. Efectiva (mm),Llovió (S:1/N:0)
2010-01-01,6.6,0.0,45.8,484.9,0.0,0.0
2010-01-02,12.6,0.0,87.4,726.1,0.0,0.0
2010-01-03,10.1,20.5,70.2,625.8,20.3,1.0
2010-01-04,7.6,5.9,52.9,525.5,5.9,1.0
2010-01-05,11.6,1.6,80.7,685.5,1.6,1.0
2010-01-06,9.8,0.0,68.2,613.8,0.0,0.0
2010-01-07,10.3,0.0,71.8,632.9,0.0,0.0
2010-01-08,13.2,0.0,92.2,750.0,0.0,0.0
2010-01-09,12.1,0.0,84.5,704.6,0.0,0.0
2010-01-10,8.5,8.9,59.5,558.9,8.9,1.0
2010-01-11,12.8,32.5,89.7,733.3,28.2,1.0
2010-01-12,10.1,0.0,70.9,623.4,0.0,0.0
2010-01-13,13.2,0.0,92.7,750.0,0.0,0.0
2010-01-14,13.0,0.0,91.4,740.4,0.0,0.0
2010-01-15,11.0,0.0,77.4,656.8,0.0,0.0
2010-01-16,4.0,0.0,28.2,375.0,0.0,0.0
2010-01-17,12.9,0.0,91.2,733.3,0.0,0.0
2010-01-18,3.8,9.9,26.9,365.4,9.9,1.0
2010-01-19,2.4,0.0,17.0,308.1,0.0,0.0
2010-01-20,12.8,0.0,90.9,723.7,0.0,0.0
2010-01-21,12.9,0.0,91.8,728.5,0.0,0.0
2010-01-22,11.3,0.0,80.5,661.6,0.0,0.0
2010-01-23,10.7,0.0,76.4,637.7,0.0,0.0
2010-01-24,13.0,0.0,93.0,728.5,0.0,0.0
2010-01-25,12.9,0.0,92.4,723.7,0.0,0.0
2010-01-26,12.9,0.0,92.5,721.3,0.0,0.0
2010-01-27,12.9,0.0,92.7,721.3,0.0,0.0
2010-01-28,12.9,0.0,92.9,718.9,0.0,0.0
2010-01-29,12.9,3.7,93.1,718.9,3.7,1.0
2010-01-30,6.7,0.0,48.5,470.5,0.0,0.0
2010-01-31,1.2,8.9,8.7,253.2,8.9,1.0
2010-02-01,10.3,0.0,75.0,613.8,0.0,0.0
2010-02-02,2.0,5.8,14.6,281.8,5.8,1.0
2010-02-03,1.5,73.1,11.0,262.7,43.7,1.0
2010-02-04,1.7,0.0,12.4,269.9,0.0,0.0
2010-02-05,0.0,106.1,0.0,200.6,43.6,1.0
2010-02-06,3.1,0.0,22.8,322.4,0.0,0.0
2010-02-07,2.5,31.6,18.4,298.6,20.2,1.0
2010-02-08,12.0,0.0,88.6,668.8,0.0,0.0
2010-02-09,12.9,0.0,95.1,699.8,0.0,0.0
2010-02-10,10.2,0.0,75.7,592.3,0.0,0.0
